Company,Category,Item Name,HSN Code,Buying Price,Selling Price (DP),Unit,GST Rate,Quantity on Hand
Acemark Stationers,Notebook,A4 College Note Book 404P Ace,48202000,₹65.42,₹69.60,1,18%,"1,000"
Acemark Stationers,Notebook,A4 College Note Book 404P Plain Ace PB,48202000,₹65.42,₹69.60,1,18%,"1,000"
Acemark Stationers,Notebook,Conference Pad 20P Ace,48209010,₹2.83,₹3.01,1,18%,"1,000"
Acemark Stationers,Stationery,Craft Paper Big (20 Sheet) Ace,480257,₹14.66,₹15.60,1,18%,"1,000"
Acemark Stationers,Stationery,Drawing Copy Cartridge Paper 016P Ace,48202000,₹7.60,₹8.09,1,18%,"1,000"
Acemark Stationers,Stationery,Drawing Copy Cartridge Paper 040P Ace,48202000,₹12.83,₹13.65,1,18%,"1,000"
Acemark Stationers,Stationery,Drawing Copy Cartridge Paper 056P Ace,48202000,₹16.53,₹17.58,1,18%,"1,000"
Acemark Stationers,Stationery,DRAWING SHEET 56CM X 71CM DARK PINK,48025810,₹3.52,₹3.74,1,18%,"1,000"
Acemark Stationers,Stationery,DRAWING SHEET 56CM X 71CM YELLOW,48025810,₹3.52,₹3.74,1,18%,"1,000"
Acemark Stationers,Stationery,DRAWING SHEET 71CM X 56CM BROWN,48025810,₹3.52,₹3.74,1,18%,"1,000"
Acemark Stationers,Notebook,Jumbo Long Book 092P Eco,48202000,₹22.61,₹24.05,1,18%,"1,000"
Acemark Stationers,Notebook,Jumbo Long Book 180P Eco,48202000,₹33.39,₹35.52,1,18%,"1,000"
Acemark Stationers,Notebook,Jumbo Long Book 276P Eco,48202000,₹45.59,₹48.50,1,18%,"1,000"
Acemark Stationers,Notebook,Jumbo Long Book 368P Eco,48202000,₹56.46,₹60.06,1,18%,"1,000"
Acemark Stationers,Notebook,Jumbo Long Book 472P Eco,48202000,₹69.64,₹74.09,1,18%,"1,000"
Acemark Stationers,Notebook,Jumbo Ruled Dasta Ace,48025710,₹224.23,₹238.55,1,18%,"1,000"
Acemark Stationers,Notebook,Jumbo Rulled Dasta Ace,48025710,₹224.23,₹238.55,1,18%,"1,000"
Acemark Stationers,Notebook,Jumbo White Dasta Ace,48025710,₹224.23,₹238.55,1,18%,"1,000"
Acemark Stationers,Notebook,King Long Book 092P Ace,48202000,₹33.13,₹35.24,1,18%,"1,000"
Acemark Stationers,Notebook,King Long Book 180P Ace,48202000,₹49.92,₹53.11,1,18%,"1,000"
Acemark Stationers,Notebook,King Long Book 372P Ace,48202000,₹85.66,₹91.13,1,18%,"1,000"
Acemark Stationers,Notebook,King Long Book 472P Ace,48202000,₹107.56,₹114.43,1,18%,"1,000"
Acemark Stationers,Notebook,Long Book Deluxe N0 Mark,48202000,₹192.92,₹205.24,1,18%,"1,000"
Acemark Stationers,Notebook,Long Book Deluxe N00 Mark,48202000,₹249.70,₹265.64,1,18%,"1,000"
Acemark Stationers,Notebook,Long Book Deluxe N4 Ace,48202000,₹71.16,₹75.71,1,18%,"1,000"
Acemark Stationers,Stationery,Note Pad 24 Sheet 18 Ace,48209010,₹5.23,₹5.57,1,18%,"1,000"
Acemark Stationers,Stationery,Note Pad 35 Sheet 18 Ace,48209010,₹6.54,₹6.95,1,18%,"1,000"
Acemark Stationers,Notebook,Prime Rough Note Book Shrink 092P,48202000,₹9.55,₹10.16,1,18%,"1,000"
Acemark Stationers,Notebook,Prime Rough Note Book Shrink 212P,48202000,₹18.08,₹19.23,1,18%,"1,000"
Acemark Stationers,Notebook,Prime Rough Note Book Shrink 324P,48202000,₹26.08,₹27.74,1,18%,"1,000"
Ajanta Marketing,Office Supplies,384 EVANTA I PIN,73194090,₹3.74,₹3.98,1,18%,"1,000"
Ajanta Marketing,Book Cover,479 EVANTA PP ORANGE BOOK COVER ROLE -5 MITER,39232100,₹14.59,₹15.53,1,18%,"1,000"
Ajanta Marketing,Book Cover,481 ART ORANGE BOOK COVER ROLE 8 MITER,39232100,₹17.63,₹18.75,1,18%,"1,000"
Ajanta Marketing,Mobile Stand,918 AJANTA S.S. MOBILE STAND,73269099,₹1.27,₹1.35,1,18%,"1,000"
Ajanta Marketing,Office Supplies,986 CALCULATOR BOX STEEL,73269099,₹0.99,₹1.05,1,18%,"1,000"
Ajanta Marketing,Office Supplies,987 AJANTA CALCULATOR BOX,39261091,₹2.40,₹2.55,1,18%,"1,000"
Ajanta Marketing,Stationery,CROSS FOOT RULER 15 CM,90172010,₹0.14,₹0.15,1,18%,"1,000"
Ajanta Marketing,Stationery,CROSS FOOT RULER 30 CM,90172010,₹4.58,₹4.88,1,18%,"1,000"
Ajanta Marketing,Stationery,ELORA FOOT RULER 30 CM,90172010,₹0.99,₹1.05,1,18%,"1,000"
Aris,Stationery,765A PATTI FOLDER,3926,₹7.47,₹7.95,1,18%,"1,000"
Aris,Stationery,BF145 ARIES BUTTON FOLDER,39261019,₹5.08,₹5.40,1,18%,"1,000"
Aris,Stationery,BF900 ARIS PRINTED BUTTON FOLDER,39261019,₹6.57,₹6.99,1,18%,"1,000"
Aris,Stationery,BF905 ARIS PRINTED BUTTON FOLDER,39261019,₹6.57,₹6.99,1,18%,"1,000"
Aris,Stationery,BF950 ARIS BUTTON FOLDER,39261019,₹7.47,₹7.94,1,18%,"1,000"
Aris,Stationery,DH600 ARIS DOCUMENT HOLDER,3926,₹23.90,₹25.43,1,18%,"1,000"
Aris,Stationery,DH605 ARIS DOCUMENT HOLDER FC,39261019,₹23.90,₹25.43,1,18%,"1,000"
Aris,Pencil,PB30 PENCIL BAG JAALI,42022210,₹8.96,₹9.53,1,18%,"1,000"
